what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1285456887609
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1285456887609
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1285456887659
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1285456887680
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1285456887705
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1285456887764
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1285456887807
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1285456887824
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1285456887876
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1285456887889
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1285456887889
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1285456887904
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1285456887932
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1285456887968
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1285456887994
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1285456888018
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1285456888037
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1285456888074
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1285456888074
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1285456888116
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1285456888130
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1285456888180
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1285456888188
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1285456888197
os,sysinfo,,,"win32",1285456888216
arch,sysinfo,,,"x86",1285456888216
ws,sysinfo,,,"win32",1285456888216
locale,sysinfo,,,"en_US",1285456888216
processors,sysinfo,,,"2",1285456888216
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285456888216
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1285456888216
java.specification.name,sysinfo,,,"Java Platform API Specification",1285456888216
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285456888216
java.specification.version,sysinfo,,,"1.6",1285456888216
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285456888216
java.version,sysinfo,,,"1.6.0_20",1285456888216
java.vm.info,sysinfo,,,"mixed mode, sharing",1285456888216
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285456888216
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285456888216
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285456888216
java.vm.specification.version,sysinfo,,,"1.0",1285456888216
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285456888216
java.vm.version,sysinfo,,,"16.3-b01",1285456888216
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1285456888291
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1285456888696
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1285456888703
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1285456893718
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1285456894626
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1285456894693
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1285456894701
