what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.core.tests,5.1.0.200909110608,"org.eclipse.cdt.core.tests",1285044450815
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1285044451244
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1285044451265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044451547
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1285044453763
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1285044454209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044456199
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1285044456239
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1285044456239
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044457349
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044467390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044475818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044514560
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044518600
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044559795
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1285044559845
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1285044559845
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1285044560645
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1285044560785
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044576565
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044615151
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1285044616531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044616821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044620601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044620926
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044620990
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044640191
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044715524
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1285044715547
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1285044715547
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044719713
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044727281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044736766
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044741491
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1285044741508
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1285044749074
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285044749264
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1285044749913
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1285044750324
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285044750463
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1285044750567
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1285044757065
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285044759861
